PassengerId,Survived,Pclass,Sex,SibSp,Parch,Embarked_Q,Embarked_S,family_group_large,family_group_small,age_group_Child,age_group_Infant,age_group_Middle Age,age_group_Old,age_group_Teenager,age_group_Young Adult,age_group_toddler,Fare_Group_Very Low
1,0,3,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1
2,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
3,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
4,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
5,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
6,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
7,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
8,0,3,1,3,1,0,1,1,0,0,0,0,0,0,0,1,1
9,1,3,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1
10,1,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
11,1,3,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1
12,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
13,0,3,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
14,0,3,1,1,5,0,1,1,0,0,0,0,0,0,0,0,1
15,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
16,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
17,0,3,1,4,1,1,0,1,0,0,0,0,0,0,0,1,1
18,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
19,0,3,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
20,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
22,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
23,1,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
24,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
25,0,3,0,3,1,0,1,1,0,1,0,0,0,0,0,0,1
26,1,3,0,1,5,0,1,1,0,0,0,0,0,0,0,0,1
27,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28,0,1,1,3,2,0,1,1,0,0,0,0,0,1,0,0,1
29,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
30,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
31,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
